# Simulation 1 (Up to date)
# 305 data points written for 54 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (92.7 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
4.1324,795.63,171.53,-48.248,171.83,48.267,34.493,0.013721,34.493,0.022791,10.148,1.356,28.61,-80.6,32.124,0.073331,8.7175e-9,-0.004837,-2.4561e-5,44.577,0,7.5405,0.0634,38.271,31.86,1.6027,0.1548,5204789,0,6.2304,0.46503,0.46504,0.26032,0.081593,0.12312,0.0085095,0.013523,1.9369e-5,0,0,0,0,-2.0446e-4,0.022011,4,12.566,84.222,0.023028,NaN,56.163,984.81,1113.6,0.05,0.039686
4.1824,804.15,169.13,-47.828,169.43,47.836,34.999,0.014015,34.999,0.022943,10.094,0.91308,28.61,-80.6,32.124,0.18158,8.4945e-9,-0.0039542,-1.6478e-5,44.577,0,7.5405,0.0634,38.223,31.86,1.5908,0.15262,5130606,0,6.0517,0.46474,0.46479,0.26034,0.081374,0.12303,0.021182,0.033667,3.5313e-4,0,0,0,0,-1.4056e-4,0.021704,4,12.566,84.141,0.021869,NaN,56.132,984.5,1113.6,0.05,0.040513
4.2324,812.55,166.75,-47.345,167.05,47.362,35.502,0.014311,35.502,0.023096,10.045,1.2675,28.61,-80.6,32.124,0.086515,8.4226e-9,-0.0029714,-8.5729e-6,44.577,0,7.5405,0.0634,38.263,31.86,1.601,0.15052,5058791,0,5.8804,0.46446,0.46448,0.26036,0.081162,0.12295,0.010045,0.015766,1.0883e-4,0,0,0,0,-8.161e-5,0.021399,4,12.566,84.08,0.01968,NaN,56.102,984.2,1113.6,0.05,0.041257
4.2824,820.82,164.39,-46.857,164.7,46.892,36.003,0.014608,36.003,0.023247,9.967,1.7991,28.61,-80.6,32.124,0.06358,8.4846e-9,0.0029348,1.5945e-5,44.577,0,7.5405,0.0634,38.273,31.86,1.6033,0.14846,4988189,0,5.7149,0.46419,0.4642,0.26037,0.080953,0.12287,0.0073735,0.011464,3.9268e-5,0,0,0,0,8.1849e-5,0.021098,4,12.566,84.028,0.017903,NaN,56.073,983.91,1113.5,0.05,0.041651
4.3324,828.99,162.06,-46.421,162.36,46.459,36.499,0.014903,36.499,0.023395,9.8718,1.8784,28.61,-80.6,32.124,0.095824,8.5308e-9,0.0034913,1.2571e-5,44.577,0,7.5405,0.0634,38.258,31.86,1.5997,0.14638,4917301,0,5.5513,0.46392,0.46393,0.26039,0.080744,0.12279,0.01113,0.017483,1.4883e-4,0,0,0,0,1.1915e-4,0.020799,4,12.566,83.971,0.017089,NaN,56.044,983.62,1113.5,0.05,0.041877
4.3824,837.03,159.75,-45.997,160.05,46.038,36.99,0.015197,36.99,0.02354,9.7779,1.9471,28.61,-80.6,32.124,0.12597,8.4897e-9,0.0040466,1.3386e-6,44.577,0,7.5405,0.0634,38.245,31.86,1.5962,0.14432,4847154,0,5.3918,0.46365,0.46367,0.26041,0.080538,0.12271,0.014652,0.02294,-4.5788e-4,0,0,0,0,1.6467e-4,0.020503,4,12.566,83.903,0.017336,NaN,56.015,983.33,1113.5,0.05,0.042123
4.4324,844.96,157.46,-45.582,157.76,45.627,37.476,0.015489,37.476,0.023681,9.6778,2.0293,28.61,-80.6,32.124,0.16076,8.567e-9,0.0048461,-1.1714e-5,44.577,0,7.5405,0.0634,38.229,31.86,1.5923,0.14229,4777833,0,5.2367,0.46339,0.46342,0.26042,0.080334,0.12263,0.01873,0.029381,3.4225e-4,0,0,0,0,2.4298e-4,0.02021,4,12.566,83.823,0.018605,NaN,55.987,983.04,1113.4,0.05,0.042376
4.4824,852.78,155.19,-45.182,155.49,45.229,37.958,0.015781,37.958,0.023821,9.5756,2.0601,28.61,-80.6,32.124,0.18096,8.7814e-9,0.0057289,-2.4421e-5,44.577,0,7.5405,0.0634,38.22,31.86,1.59,0.14027,4709163,0,5.0852,0.46313,0.46317,0.26044,0.080132,0.12256,0.021104,0.033496,-2.0797e-4,0,0,0,0,3.494e-4,0.019919,4,12.566,83.728,0.021387,NaN,55.959,982.76,1113.4,0.05,0.042709
4.5324,860.48,152.94,-44.829,153.24,44.861,38.434,0.016075,38.434,0.023963,9.4783,1.6928,28.61,-80.6,32.124,0.078029,8.6366e-9,0.0064945,-4.406e-5,44.577,0,7.5405,0.0634,38.264,31.86,1.601,0.13825,4640107,0,4.9346,0.46286,0.46287,0.26045,0.079929,0.12248,0.0090537,0.014034,-9.8571e-5,0,0,0,0,4.6234e-4,0.01963,4,12.566,83.617,0.023351,NaN,55.931,982.49,1113.4,0.05,0.04304
4.5824,868.07,150.71,-44.521,151,44.532,38.906,0.016372,38.906,0.02411,9.4102,0.97962,28.61,-80.6,32.124,0.14368,8.7527e-9,-0.006366,-8.2838e-6,44.577,0,7.5405,0.0634,38.235,31.86,1.5938,0.1362,4570576,0,4.786,0.4626,0.46263,0.26046,0.079724,0.12241,0.016724,0.027335,2.5437e-4,0,0,0,0,-4.5768e-4,0.019344,4,12.566,83.5,0.025089,NaN,55.904,982.22,1113.3,0.05,0.0435
4.6324,875.55,148.49,-44.145,148.79,44.157,39.375,0.016673,39.375,0.024261,9.3668,1.0565,28.61,-80.6,32.124,0.11621,8.7626e-9,-0.0054942,-2.3566e-5,44.577,0,7.5405,0.0634,38.246,31.86,1.5966,0.13424,4503706,0,4.645,0.46235,0.46237,0.26048,0.079528,0.12234,0.013508,0.022116,-1.6141e-4,0,0,0,0,-3.5097e-4,0.019061,4,12.566,83.393,0.027219,NaN,55.878,981.95,1113.3,0.05,0.043733
4.6824,882.92,146.29,-43.785,146.59,43.797,39.842,0.016981,39.842,0.024419,9.3094,1.0531,28.61,-80.6,32.124,0.11332,8.4946e-9,-0.0050892,-3.2205e-5,44.577,0,7.5405,0.0634,38.247,31.86,1.5968,0.13228,4437136,0,4.5069,0.4621,0.46212,0.26049,0.079332,0.12227,0.01317,0.021113,1.1117e-5,0,0,0,0,-3.1014e-4,0.018779,4,12.566,83.298,0.028666,NaN,55.851,981.69,1113.3,0.05,0.043951
4.7324,890.18,144.11,-43.455,144.41,43.463,40.306,0.017295,40.306,0.024585,9.2627,0.83392,28.61,-80.6,32.124,0.18478,8.5469e-9,-0.0043983,-1.848e-5,44.577,0,7.5405,0.0634,38.215,31.86,1.5889,0.13032,4370350,0,4.3708,0.46185,0.4619,0.26051,0.079137,0.12221,0.021549,0.034517,-3.6563e-5,0,0,0,0,-2.3869e-4,0.0185,4,12.566,83.212,0.029422,NaN,55.825,981.43,1113.3,0.05,0.044178
4.7824,897.33,141.95,-43.118,142.25,43.124,40.769,0.017616,40.769,0.024757,9.2236,0.76672,28.61,-80.6,32.124,0.20473,8.296e-9,-0.003505,-1.2145e-5,44.577,0,7.5405,0.0634,38.206,31.86,1.5867,0.12838,4304421,0,4.2383,0.4616,0.46166,0.26052,0.078943,0.12214,0.023899,0.038113,2.9916e-4,0,0,0,0,-1.5621e-4,0.018224,4,12.566,83.141,0.029725,NaN,55.8,981.17,1113.2,0.05,0.044414
4.8324,904.38,139.8,-42.775,140.1,42.783,41.229,0.017943,41.229,0.024936,9.1846,0.80885,28.61,-80.6,32.124,0.18431,8.3274e-9,-0.0026615,-1.4531e-5,44.577,0,7.5405,0.0634,38.215,31.86,1.5887,0.12646,4239246,0,4.1092,0.46136,0.46141,0.26053,0.078752,0.12208,0.021493,0.034147,-4.1251e-4,0,0,0,0,-9.2825e-5,0.017949,4,12.566,83.086,0.029675,NaN,55.775,980.92,1113.2,0.05,0.044631
4.8824,911.31,137.67,-42.445,137.97,42.453,41.687,0.018277,41.687,0.02512,9.1435,0.80945,28.61,-80.6,32.124,0.17743,8.3784e-9,-0.0019272,-1.5374e-5,44.577,0,7.5405,0.0634,38.217,31.86,1.5894,0.12455,4174364,0,3.9828,0.46112,0.46117,0.26054,0.078562,0.12202,0.020683,0.032905,5.9883e-6,0,0,0,0,-5.0178e-5,0.017677,4,12.566,83.045,0.028902,NaN,55.75,980.67,1113.2,0.05,0.044864
4.9324,918.14,135.56,-42.126,135.86,42.133,42.143,0.018615,42.143,0.025307,9.1039,0.77073,28.61,-80.6,32.124,0.18474,8.6265e-9,-0.0012078,-1.3652e-5,44.577,0,7.5405,0.0634,38.213,31.86,1.5885,0.12264,4109761,0,3.859,0.46088,0.46093,0.26056,0.078373,0.12196,0.021542,0.033982,4.3571e-4,0,0,0,0,-2.0328e-5,0.017406,4,12.566,83.016,0.027557,NaN,55.726,980.43,1113.1,0.05,0.045158
4.9824,924.87,133.46,-41.774,133.77,41.788,42.597,0.018956,42.597,0.025497,9.0602,1.1077,28.61,-80.6,32.124,0.038265,8.6255e-9,-6.7166e-4,-1.3677e-5,44.577,0,7.5405,0.0634,38.277,31.86,1.6042,0.12079,4046891,0,3.74,0.46065,0.46066,0.26057,0.078189,0.1219,0.0044299,0.0067692,-3.7788e-4,0,0,0,0,-6.4808e-6,0.017138,4,12.566,83,0.025853,NaN,55.702,980.19,1113.1,0.05,0.045494
5.0324,931.49,131.38,-41.472,131.69,41.485,43.049,0.019299,43.049,0.025686,9.0012,1.0445,28.61,-80.6,32.124,0.051163,8.6618e-9,-6.7179e-4,-8.6969e-6,44.577,0,7.5405,0.0634,38.27,31.86,1.6027,0.11891,3983161,0,3.6218,0.46042,0.46042,0.26058,0.078003,0.12184,0.0059266,0.009768,2.6502e-4,0,0,0,0,-6.6903e-6,0.016872,4,12.566,82.988,0.024488,NaN,55.678,979.95,1113.1,0.05,0.045909
5.0824,938.01,129.31,-41.188,129.62,41.198,43.498,0.019642,43.498,0.025873,8.9548,0.88204,28.61,-80.6,32.124,0.10834,8.7396e-9,-3.2514e-4,-6.5219e-6,44.577,0,7.5405,0.0634,38.245,31.86,1.5964,0.11703,3919489,0,3.5057,0.46019,0.46021,0.26059,0.077817,0.12178,0.012585,0.020167,1.5073e-4,0,0,0,0,-1.618e-6,0.016607,4,12.566,82.979,0.023138,NaN,55.655,979.72,1113.1,0.05,0.046466
5.1324,944.42,127.26,-40.872,127.57,40.887,43.944,0.019985,43.944,0.026057,8.9075,1.1059,28.61,-80.6,32.124,0.0053673,8.7629e-9,5.9865e-5,1.4914e-5,44.577,0,7.5405,0.0634,38.29,31.86,1.6075,0.1152,3857664,0,3.3952,0.46005,0.46005,0.26068,0.077637,0.12173,6.2031e-4,0.0011295,-3.1008e-4,0,0,0,0,5.6606e-8,0.016345,4,12.566,82.976,0.02172,NaN,55.632,979.49,1113,0.05,0.046812
5.1824,950.73,125.22,-40.546,125.54,40.574,44.388,0.020326,44.388,0.026237,8.8428,1.495,28.61,-80.6,32.124,0.202,8.9073e-9,4.0451e-4,8.6952e-6,44.577,0,7.5405,0.0634,38.204,31.86,1.5861,0.11341,3797042,0,3.2892,0.45992,0.45998,0.26079,0.07746,0.12167,0.023571,0.037668,4.7424e-4,0,0,0,0,2.6668e-6,0.016084,4,12.566,82.973,0.020208,NaN,55.61,979.26,1113,0.05,0.047127
5.2324,956.94,123.2,-40.266,123.52,40.295,44.828,0.020665,44.828,0.026412,8.7641,1.5242,28.61,-80.6,32.124,0.23757,8.8959e-9,0.0012333,1.061e-5,44.577,0,7.5405,0.0634,38.188,31.86,1.5821,0.1116,3735651,0,3.1834,0.4598,0.45988,0.2609,0.077281,0.12162,0.027769,0.043458,-2.8489e-4,0,0,0,0,2.5604e-5,0.015826,4,12.566,82.958,0.019153,NaN,55.587,979.04,1113,0.05,0.047398
5.2824,963.05,121.2,-39.985,121.51,40.018,45.265,0.021,45.265,0.026582,8.6878,1.6216,28.61,-80.6,32.124,0.30695,8.7679e-9,0.0020257,5.6268e-6,44.577,0,7.5405,0.0634,38.158,31.86,1.5746,0.10981,3675083,0,3.081,0.45969,0.45982,0.26101,0.077104,0.12157,0.036,0.056716,-3.2205e-4,0,0,0,0,7.1352e-5,0.015569,4,12.566,82.929,0.018471,NaN,55.566,978.82,1113,0.05,0.047657
5.3324,969.06,119.21,-39.738,119.52,39.765,45.697,0.021332,45.697,0.026746,8.6074,1.4516,28.61,-80.6,32.124,0.24507,8.9624e-9,0.0029861,6.5581e-6,44.577,0,7.5405,0.0634,38.184,31.86,1.5811,0.108,3614000,0,2.9787,0.45957,0.45966,0.26113,0.076926,0.12152,0.028655,0.044904,4.7511e-4,0,0,0,0,1.6029e-4,0.015314,4,12.566,82.884,0.018496,NaN,55.544,978.61,1112.9,0.05,0.047888
5.3824,974.97,117.22,-39.488,117.54,39.513,46.126,0.02166,46.126,0.026905,8.5394,1.3773,28.61,-80.6,32.124,0.22719,9.1136e-9,0.0036113,4.6667e-6,44.577,0,7.5405,0.0634,38.191,31.86,1.583,0.10622,3553771,0,2.8798,0.45946,0.45953,0.26124,0.076751,0.12147,0.02654,0.041783,-1.6926e-4,0,0,0,0,2.4236e-4,0.01506,4,12.566,82.824,0.019188,NaN,55.523,978.4,1112.9,0.05,0.048186
5.4324,980.79,115.26,-39.242,115.57,39.265,46.551,0.021985,46.551,0.02706,8.4706,1.3306,28.61,-80.6,32.124,0.22184,9.1481e-9,0.0042967,3.3503e-6,44.577,0,7.5405,0.0634,38.193,31.86,1.5834,0.10445,3494140,0,2.7836,0.45935,0.45942,0.26136,0.076578,0.12142,0.025908,0.040649,-3.1901e-4,0,0,0,0,3.5481e-4,0.014808,4,12.566,82.753,0.020128,NaN,55.502,978.19,1112.9,0.05,0.048477
5.4824,986.5,113.3,-39.007,113.61,39.027,46.973,0.022308,46.973,0.027211,8.4066,1.2351,28.61,-80.6,32.124,0.18768,9.2595e-9,0.0048615,4.2794e-7,44.577,0,7.5405,0.0634,38.208,31.86,1.587,0.10269,3434743,0,2.6893,0.45925,0.4593,0.26148,0.076405,0.12137,0.021882,0.034041,-2.7727e-4,0,0,0,0,4.6994e-4,0.014558,4,12.566,82.67,0.021379,NaN,55.482,977.98,1112.9,0.05,0.048722
5.5324,992.12,111.36,-38.777,111.67,38.794,47.392,0.022629,47.392,0.027359,8.347,1.1535,28.61,-80.6,32.124,0.1582,9.264e-9,0.0053213,1.9943e-6,44.577,0,7.5405,0.0634,38.22,31.86,1.5901,0.10095,3375821,0,2.5975,0.45915,0.45919,0.26159,0.076234,0.12132,0.018418,0.028997,2.7408e-4,0,0,0,0,5.827e-4,0.014309,4,12.566,82.579,0.022573,NaN,55.462,977.78,1112.9,0.05,0.048988
5.5824,997.64,109.42,-38.59,109.74,38.597,47.808,0.02295,47.808,0.027505,8.2966,0.74209,28.61,-80.6,32.123,0.075701,9.2618e-9,-0.0055198,2.88e-5,44.577,0,7.5405,0.0634,38.255,31.86,1.599,0.099163,3315722,0,2.5058,0.45913,0.45914,0.26172,0.076136,0.12128,0.0087771,0.014895,6.0043e-5,0,0,0,0,-6.4975e-4,0.014062,4,12.566,82.48,0.024024,NaN,55.442,977.59,1112.8,0.05,0.049351
5.6324,1003.1,107.5,-38.349,107.81,38.359,48.222,0.02327,48.222,0.027649,8.2625,0.87653,28.61,-80.6,32.123,0.019057,9.2759e-9,0.0052415,-2.662e-5,44.577,0,7.5405,0.0634,38.28,31.86,1.6051,0.097464,3258427,0,2.4205,0.4592,0.4592,0.26184,0.076125,0.12123,0.0022034,0.0028412,-2.1331e-4,0,0,0,0,6.0652e-4,0.013816,4,12.566,82.384,0.025835,NaN,55.423,977.39,1112.8,0.05,0.0496
5.6824,1008.4,105.59,-38.08,105.91,38.102,48.634,0.023591,48.634,0.027793,8.2071,1.3152,28.61,-80.6,32.123,0.31624,9.1779e-9,0.0056527,-1.9571e-5,44.577,0,7.5405,0.0634,38.151,31.86,1.5729,0.095824,3203131,0,2.3403,0.45927,0.45941,0.26196,0.076115,0.12119,0.037098,0.057187,-3.8339e-4,0,0,0,0,7.2978e-4,0.013571,4,12.566,82.287,0.027601,NaN,55.404,977.2,1112.8,0.05,0.04983
5.7324,1013.6,103.69,-37.835,104.01,37.868,49.042,0.023913,49.042,0.027938,8.1335,1.5866,28.61,-80.6,32.123,0.51648,9.0237e-9,0.0066479,-2.0728e-5,44.577,0,7.5405,0.0634,38.067,31.86,1.5518,0.094177,3147614,0,2.2616,0.45934,0.45971,0.26208,0.076105,0.12115,0.061177,0.094291,-9.0115e-5,0,0,0,0,0.001045,0.013328,4,12.566,82.177,0.029198,NaN,55.385,977.02,1112.8,0.05,0.050137
5.7824,1018.8,101.8,-37.634,102.12,37.664,49.447,0.024238,49.447,0.028085,8.0538,1.4984,28.61,-80.6,32.123,0.48645,9.2238e-9,0.0078453,-2.4739e-5,44.577,0,7.5405,0.0634,38.079,31.86,1.5549,0.09249,3090765,0,2.181,0.45941,0.45974,0.2622,0.076095,0.12111,0.057536,0.088154,-1.5719e-4,0,0,0,0,0.001509,0.013087,4,12.566,82.046,0.03061,NaN,55.367,976.83,1112.7,0.05,0.050368
5.8324,1023.8,99.926,-37.446,100.24,37.47,49.848,0.024565,49.848,0.028235,7.9835,1.3475,28.61,-80.6,32.123,0.40842,9.17e-9,0.0087795,-2.6602e-5,44.577,0,7.5405,0.0634,38.111,31.86,1.563,0.090803,3033974,0,2.1017,0.45949,0.45972,0.26233,0.076085,0.12107,0.048124,0.073584,-2.3163e-4,0,0,0,0,0.0019607,0.012846,4,12.566,81.896,0.031695,NaN,55.349,976.65,1112.7,0.05,0.050576
5.8824,1028.7,98.058,-37.261,98.377,37.281,50.245,0.024894,50.245,0.028388,7.9192,1.2129,28.61,-80.6,32.123,0.33454,9.0718e-9,0.0095452,-3.3744e-5,44.577,0,7.5405,0.0634,38.142,31.86,1.5707,0.089129,2977626,0,2.0246,0.45957,0.45973,0.26246,0.076075,0.12103,0.039277,0.059162,4.3148e-4,0,0,0,0,0.0024057,0.012607,4,12.566,81.731,0.032325,NaN,55.331,976.47,1112.7,0.05,0.05079
5.9324,1033.6,96.2,-37.046,96.521,37.072,50.64,0.025227,50.64,0.028543,7.8571,1.3894,28.61,-80.6,32.123,0.4903,9.1536e-9,0.010259,-3.0505e-5,44.577,0,7.5405,0.0634,38.076,31.86,1.5542,0.08752,2923488,0,1.9529,0.45965,0.45999,0.26259,0.076066,0.121,0.057998,0.087079,4.0224e-4,0,0,0,0,0.002882,0.01237,4,12.566,81.553,0.033003,NaN,55.314,976.3,1112.7,0.05,0.051004
5.9824,1038.4,94.353,-36.875,94.674,36.895,51.031,0.025564,51.031,0.028702,7.7872,1.2238,28.61,-80.6,32.123,0.38786,9.0783e-9,0.011219,-3.941e-5,44.577,0,7.5405,0.0634,38.119,31.86,1.5649,0.085862,2867736,0,1.8792,0.45974,0.45995,0.26273,0.076057,0.12096,0.045653,0.068036,3.4067e-4,0,0,0,0,0.0035813,0.012133,4,12.566,81.359,0.03361,NaN,55.297,976.13,1112.7,0.05,0.051214
6.0324,1043,92.513,-36.721,92.835,36.734,51.419,0.025903,51.419,0.028864,7.7339,0.97193,28.61,-80.6,32.123,0.2032,9.0499e-9,0.011695,-6.7643e-5,44.577,0,7.5405,0.0634,38.198,31.86,1.5845,0.084194,2811664,0,1.8063,0.45983,0.45989,0.26286,0.076048,0.12092,0.023703,0.033067,-4.3995e-5,0,0,0,0,0.0040471,0.011898,4,12.566,81.153,0.033903,NaN,55.28,975.96,1112.7,0.0025,0.051486
# Event EJECTION_CHARGE occurred at t=6.0324 seconds
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=6.0334 seconds
6.0376,1043.5,90.799,-609.22,93.587,616.13,51.458,0.025938,51.458,0.028881,7.4865,91.988,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.084112,2808897,0,225.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011886,NaN,NaN,NaN,NaN,6.9984,55.28,975.96,1112.7,0.0026625,0.094699
6.0403,1043.8,89.177,-589.15,91.946,595.81,51.479,0.025957,51.479,0.02889,7.2419,88.845,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.082637,2759626,0,217.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011676,NaN,NaN,NaN,NaN,6.9939,55.279,975.95,1112.7,0.0027533,0.094745
6.0432,1044,87.555,-569.43,90.305,575.85,51.499,0.025975,51.499,0.028899,6.9976,85.757,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.081162,2710355,0,209.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011466,NaN,NaN,NaN,NaN,6.9893,55.278,975.94,1112.7,0.0028487,0.094792
6.0461,1044.3,85.932,-550.06,88.664,556.25,51.519,0.025994,51.519,0.028909,6.7536,82.724,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.079687,2661084,0,202.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011256,NaN,NaN,NaN,NaN,6.9846,55.277,975.93,1112.6,0.0029491,0.094857
6.0492,1044.5,84.31,-531.05,87.023,537.01,51.539,0.026014,51.539,0.028919,6.51,79.747,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.078212,2611812,0,194.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011046,NaN,NaN,NaN,NaN,6.9796,55.276,975.92,1112.6,0.0030547,0.094936
6.0524,1044.8,82.688,-512.4,85.382,518.13,51.56,0.026033,51.56,0.02893,6.2668,76.826,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.076738,2562540,0,187.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010836,NaN,NaN,NaN,NaN,6.9745,55.275,975.91,1112.6,0.0031661,0.095003
6.0556,1045.1,81.066,-494.11,83.742,499.62,51.58,0.026053,51.58,0.028941,6.0239,73.995,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.075263,2513297,0,180.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010626,NaN,NaN,NaN,NaN,6.9753,55.274,975.9,1112.6,0.0032834,0.095066
6.059,1045.3,79.443,-476.17,82.102,481.47,51.6,0.026074,51.6,0.028952,5.7812,71.231,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.07379,2464065,0,173.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010416,NaN,NaN,NaN,NaN,6.9784,55.273,975.89,1112.6,0.0034071,0.09517
6.0626,1045.6,77.821,-458.59,80.462,463.68,51.62,0.026095,51.62,0.028964,5.5387,68.522,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.072316,2414834,0,166.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010206,NaN,NaN,NaN,NaN,6.9815,55.272,975.88,1112.6,0.0035378,0.095216
6.0663,1045.9,76.198,-441.36,78.822,446.25,51.64,0.026116,51.64,0.028976,5.2966,65.868,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.070842,2365604,0,159.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0099961,NaN,NaN,NaN,NaN,6.9848,55.271,975.87,1112.6,0.003676,0.095292
6.0701,1046.2,74.576,-424.49,77.182,429.18,51.66,0.026137,51.66,0.028989,5.0548,63.267,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.069369,2316375,0,153.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0097862,NaN,NaN,NaN,NaN,6.9882,55.27,975.86,1112.6,0.0038222,0.095326
6.0741,1046.5,72.953,-407.97,75.543,412.47,51.679,0.026159,51.679,0.029002,4.8133,60.722,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.067895,2267148,0,146.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0095763,NaN,NaN,NaN,NaN,6.9917,55.269,975.85,1112.6,0.0039771,0.09536
6.0782,1046.8,71.331,-391.81,73.903,396.12,51.699,0.026182,51.699,0.029017,4.5721,58.231,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.066421,2217923,0,140.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0093665,NaN,NaN,NaN,NaN,6.9954,55.268,975.84,1112.6,0.0041413,0.095394
6.0825,1047.1,69.708,-376.01,72.263,380.12,51.718,0.026205,51.718,0.029031,4.3314,55.794,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.064948,2168698,0,134.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0091568,NaN,NaN,NaN,NaN,6.9993,55.267,975.83,1112.6,0.0043155,0.095427
6.087,1047.4,68.085,-360.56,70.624,364.49,51.737,0.026228,51.737,0.029047,4.091,53.412,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.063474,2119476,0,128.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008947,NaN,NaN,NaN,NaN,7.0032,55.266,975.82,1112.6,0.0045006,0.095461
6.0917,1047.7,66.463,-345.46,68.984,349.22,51.755,0.026252,51.755,0.029063,3.851,51.085,28.61,-80.6,32.123,NaN,NaN,NaN,NaN,44.577,0,NaN,NaN,NaN,NaN,NaN,0.062001,2070255,0,122.29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0087373,NaN,NaN,NaN,NaN,7.0074,55.265,975.81,1112.6,0.0046974,0.095494
